feature_id;NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20
NMG90_04710;2618;1656;1346;1307;1283;1679;1337;1653;1138;1672;1067;1309
NMG90_22105;1509;1757;851;448;808;1953;1022;967;316;789;674;707
NMG90_05380;1975;1451;1629;1662;1229;1110;2007;1825;1595;2093;1471;1481
NMG90_04530;857;737;981;839;634;556;1266;694;864;1352;922;911
NMG90_19780;915;748;826;771;400;578;1230;709;667;891;781;781
NMG90_09050;1542;1393;1461;1321;1161;1277;1769;1311;1251;1959;1255;1218
NMG90_04790;920;774;822;698;561;531;879;593;809;1135;627;731
NMG90_06195;9342;2589;1106;2159;2147;2921;1456;3623;513;646;2147;7201
NMG90_04910;337;174;156;230;225;180;207;258;208;256;144;161
NMG90_08435;416;400;271;312;192;223;460;358;233;293;319;399
NMG90_12850;9127;6324;4461;4365;5395;5834;6410;6772;3896;7521;3927;5417
NMG90_10610;3264;2038;2932;3789;1671;1896;3637;2700;4992;4364;2448;3291
NMG90_02500;1370;1105;1379;1017;1088;1041;1436;1042;1014;1772;969;863
NMG90_05940;2497;2398;3295;3169;1376;1861;4615;1672;2248;1565;3422;2722
NMG90_25130;437;496;539;652;342;298;732;411;562;660;546;498
NMG90_17075;4059;3758;3170;3564;2689;2199;4711;2975;3925;4748;3621;5365
NMG90_09070;70904;51093;39812;68584;33439;46025;83151;59736;45621;28731;64058;122128
NMG90_19050;7;3;1;3;1;4;3;1;2;8;6;9
NMG90_00670;26456;15486;16595;18219;18276;16777;21563;17130;17698;22019;14665;17607
NMG90_01160;72654;57710;70761;82613;38501;44498;111194;60957;51172;63462;65441;71687
NMG90_19365;57028;58378;63310;71525;53193;38588;85962;51025;72713;98131;54912;76626
NMG90_07205;723;599;989;1010;545;488;1118;595;986;1031;887;910
NMG90_02795;951;822;890;699;655;918;958;854;1033;1220;724;685
NMG90_06995;228;132;158;136;120;131;226;184;127;226;213;132
NMG90_20605;85;100;97;148;42;42;186;106;124;56;104;158
NMG90_00100;2578;2219;1174;975;1455;1497;1508;1581;941;1282;1010;1199
NMG90_18740;32971;30601;55456;63002;27390;15133;62386;28297;102132;45672;47779;68937
NMG90_10145;521;414;179;200;229;342;211;354;178;305;209;233
NMG90_14860;17788;14852;18144;22554;13099;10887;26826;12989;27772;20878;16976;26138
NMG90_18790;22624;24641;29823;31984;21983;12379;30738;21634;48242;35268;22712;35470
NMG90_17915;0;0;0;0;0;0;2;0;0;0;1;0
NMG90_21495;6620;5272;8385;8168;5532;5153;8181;6527;6471;7658;6153;5996
NMG90_02790;3367;3642;5152;4249;2563;2371;5984;3021;4295;5333;4084;3061
NMG90_12735;10121;7024;7378;8693;5529;6998;14871;8875;5957;11603;6688;9427
NMG90_16740;1795;1533;1298;1264;1087;1253;1666;1201;1410;1931;1111;1483
NMG90_07700;3800;3492;3702;3618;2646;2736;4788;3101;3392;4869;2993;3486
NMG90_00745;121;71;145;100;84;49;189;74;149;169;156;79
NMG90_12150;605;330;416;507;366;236;533;409;565;493;378;527
NMG90_13180;1241;1118;1091;944;1038;1583;914;1352;986;1520;991;575
NMG90_18865;12782;9747;9475;10483;8189;7418;11089;9077;14842;11432;7869;12006
NMG90_01135;15449;9149;12813;18343;5481;8253;14945;7801;21805;12117;14693;20329
NMG90_21910;28310;13274;12191;10594;10486;14403;15545;18630;7960;15826;12252;11816
NMG90_13265;15684;12109;12992;12318;8938;10682;16149;11213;11237;15099;10938;11174
NMG90_21850;72;33;41;36;34;46;40;26;43;61;26;19
NMG90_25175;191;182;121;149;79;170;180;122;106;174;123;124
NMG90_12010;43525;32502;20749;18065;27713;32769;19119;33407;18083;22307;13936;13326
NMG90_08270;566;490;358;413;367;420;431;409;424;752;278;391
NMG90_08350;627;533;616;582;371;411;786;476;507;628;503;578
NMG90_04550;4673;3448;2851;3028;3093;2652;2605;3170;3325;4900;2527;4039
NMG90_04445;2607;2004;1613;1489;1705;1662;1632;2053;1400;2347;1406;1754
NMG90_12835;17414;17037;8137;8676;10387;13903;13795;14927;8333;14142;9223;9343
NMG90_16705;4069;2575;1876;1816;1780;1945;2610;2375;1466;2593;1875;2565
NMG90_12410;65;63;50;75;34;54;130;47;53;38;89;63
NMG90_22930;141;85;107;107;82;72;131;120;88;145;96;69
NMG90_01185;5356;4351;9176;12936;2253;3433;20596;2978;9009;4593;13386;12413
NMG90_00235;1284;1026;758;626;788;808;1061;870;548;1264;651;607
NMG90_23030;6397;5533;10044;10602;4587;4425;15467;6441;9384;10090;8885;10182
NMG90_04930;2422;1601;2037;1975;1201;1538;2945;1634;1902;2537;1867;1813
NMG90_24705;3;5;1;4;8;6;8;10;13;8;5;6
NMG90_14805;342190;346229;297823;321723;267793;257362;554553;325018;244183;372127;349971;331491
NMG90_09170;0;4;4;3;2;2;0;3;2;3;2;1
NMG90_12740;3275;2403;1620;1636;1588;2025;2634;2661;1614;3131;1666;1939
NMG90_08230;168;204;104;128;125;170;124;202;97;210;139;103
NMG90_13650;17;3;18;22;10;14;16;8;6;32;17;15
NMG90_05050;6275;5458;3611;3915;3810;4249;5221;5657;4302;5988;3561;3514
NMG90_13320;26223;24292;20289;18011;17731;15901;25345;21893;17522;28426;17626;19251
NMG90_16275;8473;5809;3727;3717;4477;5714;5004;6546;3347;6285;3636;3896
NMG90_08530;39851;35248;55910;71856;37362;20842;73013;32961;75104;58105;51494;72142
NMG90_00065;21;33;32;45;25;19;78;42;40;58;35;39
NMG90_05525;29127;10587;2074;1901;4891;16287;1593;7269;862;1839;2374;3165
NMG90_23380;540;371;604;570;334;368;629;532;497;633;474;483
NMG90_22245;146;137;152;128;148;191;162;156;93;208;162;64
NMG90_19775;1497;1244;1458;1295;797;1021;1957;1152;1121;1549;1254;1155
NMG90_21140;214;157;151;146;149;94;186;158;149;236;138;96
NMG90_12115;2233;1279;1255;800;1060;1517;1037;1384;738;1207;895;894
NMG90_04205;9406;9303;11342;10107;6348;7168;13871;7338;10957;13184;9096;10005
NMG90_15935;5698;6146;7632;7530;3830;3768;9405;5029;6894;7585;6505;5199
NMG90_17495;17046;13207;10703;10558;6648;11147;15995;12918;10101;12052;11706;11212
NMG90_01560;1194;1226;1784;1476;690;815;2097;881;1335;1596;1279;995
NMG90_05605;6379;7182;16834;14260;4804;4152;21973;5455;17210;13839;13188;11232
NMG90_18545;1201;1305;1851;1623;824;972;2470;932;1757;1876;1613;1476
NMG90_02275;2556;2138;1579;1322;1473;1857;2282;1962;1360;2221;1474;1607
NMG90_14785;8613;6061;8646;8514;3943;5875;12946;5421;5801;5877;9437;7448
NMG90_16285;7169;5323;3371;3471;4028;5102;6060;6085;3508;6270;3388;5286
NMG90_22310;9584;7999;9072;7419;4044;5660;11549;6702;7119;8871;8017;7256
NMG90_18685;27779;26375;56157;64272;23100;12931;69269;24659;106558;37681;50272;67759
NMG90_04900;461;355;394;369;280;293;350;408;405;477;232;338
NMG90_10890;289149;182579;151747;126776;132373;205740;228833;189296;149695;232097;129477;142968
NMG90_21605;226;168;302;271;247;176;283;226;178;337;205;156
NMG90_12475;1368;789;1216;1082;421;849;2084;662;557;1357;1476;1224
NMG90_04085;3461;2901;3473;2760;1700;2494;4248;2448;3205;3592;3038;2705
NMG90_13270;2273869;1597239;2140688;1968292;1584113;1285475;2198757;1838485;1932354;1787214;1643967;1840447
NMG90_01655;526;536;476;452;323;374;399;438;382;592;323;400
NMG90_02345;1732;1308;911;814;1077;1124;1165;1458;602;1539;852;920
NMG90_20970;4521;4176;3355;3592;2693;2680;4907;3613;3072;4703;3564;4032
NMG90_09955;706;608;659;567;484;598;728;730;546;816;491;393
NMG90_10385;334;317;657;536;232;232;856;324;570;501;594;422
NMG90_18925;912;581;598;622;563;424;720;661;652;873;525;801
NMG90_24615;28883;26763;29773;21132;16092;26775;26953;22320;25792;25236;27150;15097
NMG90_08285;802;556;626;678;478;682;794;537;534;829;546;591
NMG90_13505;44;30;24;24;41;35;65;46;16;77;29;37
NMG90_08035;64;48;74;63;56;44;105;72;95;166;67;80
NMG90_22555;724;444;475;376;330;404;502;444;415;638;354;274
NMG90_09435;118;80;45;64;58;92;95;35;40;89;48;47
NMG90_06495;78;57;99;79;28;37;87;86;80;101;84;62
NMG90_01595;15127;14623;13269;12574;12308;11341;16098;13118;12074;17198;11755;11615
NMG90_10915;130;93;147;177;101;84;175;113;152;187;103;94
NMG90_03180;368;941;160;102;142;226;108;155;94;534;184;102
NMG90_03090;657;569;843;726;478;337;1133;560;771;738;744;623
NMG90_16095;2454;1853;2405;2254;1174;1704;2831;1418;1834;1978;1910;1959
NMG90_07085;129;125;124;119;84;86;160;100;103;111;137;153
NMG90_23995;612;563;282;252;364;703;356;470;209;378;281;211
NMG90_24345;7078;5012;5033;4181;5469;4034;5150;6257;2997;4673;4226;4524
NMG90_21360;29;12;21;20;27;26;51;42;15;52;30;21
NMG90_20140;584;491;549;430;395;433;672;542;477;691;455;506
NMG90_04520;18092;14907;12227;9730;11911;13317;13823;15242;9809;18178;10075;10199
NMG90_10265;34;23;20;16;5;31;19;12;13;10;11;23
NMG90_16390;9567;7081;6976;6319;4989;6014;7778;5840;5961;9353;5973;6434
NMG90_23350;106;113;89;78;75;116;128;135;87;171;84;103
NMG90_17325;199;136;157;200;138;171;213;150;165;278;166;156
NMG90_19400;2160;2481;2312;1991;2039;1609;3067;2510;2271;4245;2150;1814
NMG90_23360;131;127;88;110;59;74;143;119;96;122;71;87
NMG90_21730;256;144;73;88;54;132;124;119;74;120;145;92
NMG90_00340;2507;1784;1883;1432;1371;1534;2453;1897;1422;2217;1683;1595
NMG90_07210;4697;4072;5793;6349;3866;2915;7072;3907;6328;6561;5118;5166
NMG90_23110;13472;13682;11749;9754;10432;9813;13435;12595;8876;18567;9567;8061
NMG90_23685;3581;2878;2319;2202;2117;3050;4303;2562;1822;3459;2022;2286
NMG90_03005;29572;29026;24965;18411;19194;19919;28072;19025;21215;22131;20257;16588
NMG90_03590;13868;13267;5126;4275;7679;16265;6271;14105;3559;7602;5395;5281
NMG90_18805;28774;29060;31171;34927;26706;15447;33678;25702;46326;42072;23946;36118
NMG90_14985;28699;23474;9605;14144;15456;17367;17628;22162;12844;16768;11123;23229
NMG90_05470;584;182;176;172;49;155;145;91;260;256;203;142
NMG90_09860;777;439;418;492;455;504;780;506;316;599;422;528
NMG90_11080;632;578;491;492;404;563;614;515;437;853;398;440
NMG90_13865;4000;3031;3549;5707;1699;2710;8043;3773;2685;4621;4467;5235
NMG90_24515;128;141;112;131;111;108;158;159;92;132;118;108
NMG90_10785;2252;2340;1577;1306;1508;1673;1812;1933;1194;2132;1163;1316
NMG90_22545;671;423;444;402;381;408;512;332;397;460;381;369
NMG90_18470;651;546;530;407;500;456;799;604;503;1149;421;448
NMG90_19970;1065;1116;1042;887;785;817;1040;1013;892;1582;912;632
NMG90_20470;421;301;317;278;243;256;370;304;257;410;248;258
NMG90_24290;9774;6483;6573;6600;4165;5158;11645;5855;4534;7319;6108;8030
NMG90_13775;2533;2293;2425;2339;2012;1866;2952;2410;2364;3301;1925;2357
NMG90_20135;9;17;23;26;4;7;15;9;7;12;19;7
NMG90_08700;3716;2961;3758;4291;2417;2195;5726;3090;3491;4770;3778;4172
NMG90_09820;532;539;528;586;348;326;732;375;586;635;451;541
